trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
499020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
443020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1310010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1936010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1157070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
284020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1881020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
306020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2107090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1539020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1470070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1563020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1563090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1117070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1638070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1891070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2411020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2350010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
880070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1172090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
428020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
619090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
443090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
985090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1071090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1732010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
94070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2415090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1050090,232,1,232 Downtown,,0,5331,shp-232-51,1,1
1279010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
1868090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
2493090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
1188010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
315090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
817090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
899090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
1609010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
699020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
79020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
699090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
1591090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
457070,232,2,232 Downtown,,0,1331,shp-232-51,1,1
182010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
386070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
162020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
1738010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
53070,232,2,232 Downtown,,0,1331,shp-232-51,1,1
630090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
1566070,232,2,232 Downtown,,0,3331,shp-232-51,1,1
82090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
1713010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
162090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
2033090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
1077070,232,2,232 Downtown,,0,1331,shp-232-51,1,1
1007070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
1649070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
1872090,232,1,232 Downtown,,0,5331,shp-232-51,1,1
407070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
1428090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
1176020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
76070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
2448070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
2225010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
2493020,232,3,232 Downtown,,0,2331,shp-232-51,1,1
2321070,232,2,232 Downtown,,0,1331,shp-232-51,1,1
1221070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
1050020,232,3,232 Downtown,,0,5331,shp-232-51,1,1
2444010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
1807070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
2521020,232,3,232 Downtown,,0,2331,shp-232-51,1,1
2256020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
1128010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
272070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
101020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
2176090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
133020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
1698020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
1502090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
1194090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
881090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
624090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
2064070,232,2,232 Downtown,,0,1331,shp-232-51,1,1
314020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
1432010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
101090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
624020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
1651070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
1917090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
1690090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
1176090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
691090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
244010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
1872020,232,3,232 Downtown,,0,5331,shp-232-51,1,1
1902090,232,1,232 Downtown,,0,5331,shp-232-51,1,1
2263090,232,1,232 Downtown,,0,5331,shp-232-51,1,1
1285020,232,3,232 Downtown,,0,2331,shp-232-51,1,1
1406090,232,1,232 Downtown,,0,2331,shp-232-51,1,1
1816090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
1345010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
2519020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
1973020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
1406020,232,3,232 Downtown,,0,2331,shp-232-51,1,1
2136010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
2426090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
560010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
144070,232,2,232 Downtown,,0,3331,shp-232-51,1,1
2100090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
2297090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
2367010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
2380010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
1999070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
84070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
2051010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
2469010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
922070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
79090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
1194020,232,3,232 Downtown,,0,2331,shp-232-51,1,1
278070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
145010,232,4,232 Downtown,,0,1331,shp-232-51,1,1
2081070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
1941070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
1902020,232,3,232 Downtown,,0,5331,shp-232-51,1,1
1353070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
1868020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
1838020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
441010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
1372020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
1646020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
133090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
535090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
2094090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
379020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
1625090,232,1,232 Downtown,,0,5331,shp-232-51,1,1
1132070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
1471070,232,2,232 Downtown,,0,1331,shp-232-51,1,1
1625020,232,3,232 Downtown,,0,5331,shp-232-51,1,1
2256090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
630020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
1622070,232,2,232 Downtown,,0,3331,shp-232-51,1,1
822070,232,2,232 Downtown,,0,3331,shp-232-51,1,1
1265070,232,2,232 Downtown,,0,1331,shp-232-51,1,1
265070,232,2,232 Downtown,,0,2331,shp-232-51,1,1
586070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
2100020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
2297020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
817020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
350020,232,3,232 Downtown,,0,3331,shp-232-51,1,1
1646090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
82020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
314090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
2094020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
1321070,232,2,232 Downtown,,0,4331,shp-232-51,1,1
2263020,232,3,232 Downtown,,0,5331,shp-232-51,1,1
899020,232,3,232 Downtown,,0,2331,shp-232-51,1,1
2211010,232,4,232 Downtown,,0,2331,shp-232-51,1,1
1829090,232,1,232 Downtown,,0,1331,shp-232-51,1,1
2426020,232,3,232 Downtown,,0,1331,shp-232-51,1,1
1030020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
379090,232,1,232 Downtown,,0,4331,shp-232-51,1,1
1973090,232,1,232 Downtown,,0,3331,shp-232-51,1,1
1816020,232,3,232 Downtown,,0,4331,shp-232-51,1,1
